text,count,percent,cumulative_count,cumulative_percent
the,5471,22.98836085549813,5471,22.98836085549813
of,3528,14.824152275305686,8999,37.812513130803815
in,1851,7.777637715870414,10850,45.590150846674234
and,1841,7.7356191436614985,12691,53.32576999033572
a,1437,6.038068826421279,14128,59.36383881675701
to,1226,5.151476952813144,15354,64.51531576957015
by,632,2.655573763603513,15986,67.17088953317366
from,428,1.7983948905416194,16414,68.96928442371528
with,404,1.6975503172402202,16818,70.6668347409555
his,377,1.5841001722761463,17195,72.25093491323165
were,324,1.3614017395688893,17519,73.61233665280054
s,303,1.273162737930165,17822,74.8854993907307
it,287,1.205933022395899,18109,76.0914324131266
on,261,1.0966847346527164,18370,77.18811714777932
he,261,1.0966847346527164,18631,78.28480188243203
for,239,1.0042438757931005,18870,79.28904575822514
at,211,0.8865918736081347,19081,80.17563763183327
that,206,0.8655825875036766,19287,81.04122021933695
which,172,0.722719441993361,19459,81.76393966133031
this,169,0.7101138703306862,19628,82.474053531661
had,158,0.6638934409008782,19786,83.13794697256188
who,157,0.6596915836799866,19943,83.79763855624186
an,156,0.655489726459095,20099,84.45312828270094
after,154,0.6470860120173116,20253,85.10021429471827
under,149,0.6260767259128535,20402,85.72629102063112
but,148,0.6218748686919618,20550,86.34816588932308
is,137,0.5756544392621539,20687,86.92382032858524
during,123,0.5168284381696711,20810,87.4406487667549
their,119,0.5000210092861045,20929,87.94066977604102
or,108,0.4538005798562965,21037,88.3944703558973
not,106,0.44539686541451323,21143,88.83986722131182
i,105,0.4411950081936216,21248,89.28106222950544
they,98,0.41178200764738015,21346,89.69284423715283
into,98,0.41178200764738015,21444,90.1046262448002
between,93,0.3907727215429219,21537,90.49539896634312
d,82,0.344552292113114,21619,90.83995125845624
when,81,0.34035043489222233,21700,91.18030169334847
over,78,0.3277448632295475,21778,91.50804655657801
other,71,0.298331862683306,21849,91.8063784192613
some,70,0.29413000546241436,21919,92.10050842472373
be,70,0.29413000546241436,21989,92.39463843018613
against,70,0.29413000546241436,22059,92.68876843564856
all,66,0.27732257657884785,22125,92.96609101222741
him,63,0.26471700491617295,22188,93.23080801714357
been,63,0.26471700491617295,22251,93.49552502205975
are,56,0.2353040043699315,22307,93.73082902642969
most,55,0.23110214714903987,22362,93.96193117357872
until,54,0.22690028992814826,22416,94.18883146350687
them,53,0.22269843270725662,22469,94.41152989621413
such,53,0.22269843270725662,22522,94.63422832892138
these,51,0.21429471826547333,22573,94.84852304718686
there,51,0.21429471826547333,22624,95.06281776545234
only,51,0.21429471826547333,22675,95.2771124837178
have,50,0.2100928610445817,22725,95.48720534476239
more,46,0.19328543216101515,22771,95.68049077692339
then,45,0.18908357494012354,22816,95.86957435186353
being,43,0.18067986049834026,22859,96.05025421236186
did,40,0.16807428883566536,22899,96.21832850119752
her,38,0.1596705743938821,22937,96.37799907559142
out,37,0.15546871717299046,22974,96.5334677927644
further,36,0.15126685995209882,23010,96.6847346527165
up,35,0.14706500273120718,23045,96.8317996554477
while,34,0.14286314551031556,23079,96.97466280095803
she,32,0.13445943106853228,23111,97.10912223202655
both,31,0.13025757384764067,23142,97.2393798058742
about,31,0.13025757384764067,23173,97.36963737972184
no,30,0.12605571662674903,23203,97.49569309634859
any,30,0.12605571662674903,23233,97.62174881297534
through,28,0.11765200218496576,23261,97.73940081516031
before,28,0.11765200218496576,23289,97.85705281734526
again,28,0.11765200218496576,23317,97.97470481953023
ma,25,0.10504643052229085,23342,98.07975125005252
than,24,0.10084457330139922,23366,98.18059582335393
now,24,0.10084457330139922,23390,98.28144039665531
himself,24,0.10084457330139922,23414,98.38228496995673
so,23,0.09664271608050758,23437,98.47892768603724
itself,23,0.09664271608050758,23460,98.57557040211773
same,22,0.09244085885961595,23482,98.66801126097735
because,22,0.09244085885961595,23504,98.76045211983697
where,20,0.08403714441783268,23524,98.8444892642548
each,20,0.08403714441783268,23544,98.92852640867264
themselves,18,0.07563342997604941,23562,99.00415983864869
those,17,0.07143157275515778,23579,99.07559141140383
can,15,0.06302785831337451,23594,99.13861926971721
own,14,0.05882600109248288,23608,99.19744527080971
m,14,0.05882600109248288,23622,99.25627127190218
down,14,0.05882600109248288,23636,99.31509727299466
what,13,0.05462414387159124,23649,99.36972141686626
very,13,0.05462414387159124,23662,99.42434556073785
do,13,0.05462414387159124,23675,99.47896970460943
if,12,0.05042228665069961,23687,99.52939199126014
above,12,0.05042228665069961,23699,99.57981427791084
too,11,0.046220429429807974,23710,99.62603470734065
won,10,0.04201857220891634,23720,99.66805327954957
having,10,0.04201857220891634,23730,99.71007185175847
few,10,0.04201857220891634,23740,99.7520904239674
off,8,0.03361485776713307,23748,99.78570528173452
whom,7,0.02941300054624144,23755,99.81511828228076
here,6,0.025211143325349804,23761,99.84032942560613
will,5,0.02100928610445817,23766,99.86133871171057
once,5,0.02100928610445817,23771,99.88234799781503
nor,5,0.02100928610445817,23776,99.90335728391949
just,5,0.02100928610445817,23781,99.92436657002395
should,4,0.016807428883566535,23785,99.94117399890752
we,2,0.008403714441783268,23787,99.9495777133493
t,2,0.008403714441783268,23789,99.95798142779108
haven,2,0.008403714441783268,23791,99.96638514223287
below,2,0.008403714441783268,23793,99.97478885667465
re,1,0.004201857220891634,23794,99.97899071389554
our,1,0.004201857220891634,23795,99.98319257111643
my,1,0.004201857220891634,23796,99.98739442833732
herself,1,0.004201857220891634,23797,99.99159628555822
don,1,0.004201857220891634,23798,99.99579814277911
am,1,0.004201857220891634,23799,100.0
