text_orig,text_strp_unicode,text_strp_punct
<<article_start>>,<<article_start>>,<<article_start>>
,,
the,the,the
kénédougou,kndougou,kndougou
kingdom,kingdom,kingdom
",",",",
also,also,also
referred,referred,referred
to,to,to
a,a,a
the,the,the
kenedugu,kenedugu,kenedugu
kingdom,kingdom,kingdom
",",",",
(,(,
c.,c.,c
<<year>>–1898,<<year>>1898,<<year>>1898
),),
wa,wa,wa
a,a,a
pre-colonial,pre-colonial,precolonial
west,west,west
african,african,african
state,state,state
established,established,established
in,in,in
the,the,the
southern,southern,southern
portion,portion,portion
of,of,of
present-day,present-day,presentday
mali,mali,mali
.,.,
<<section_title_start>>,<<section_title_start>>,<<section_title_start>>
traoré,traor,traor
dynasty,dynasty,dynasty
<<section_title_end>>,<<section_title_end>>,<<section_title_end>>
kénédougou,kndougou,kndougou
wa,wa,wa
first,first,first
established,established,established
in,in,in
the,the,the
<<year>>,<<year>>,<<year>>
by,by,by
the,the,the
senoufo,senoufo,senoufo
people,people,people
",",",",
who,who,who
originate,originate,originate
in,in,in
modern-day,modern-day,modernday
cote,cote,cote
d'ivoire,d'ivoire,divoire
.,.,
they,they,they
began,began,began
traversing,traversing,traversing
the,the,the
border,border,border
of,of,of
cote,cote,cote
d'ivoire,d'ivoire,divoire
",",",",
mali,mali,mali
",",",",
burkina,burkina,burkina
faso,faso,faso
and,and,and
ghana,ghana,ghana
around,around,around
the,the,the
<<number>>,<<number>>,<<number>>
century,century,century
.,.,
the,the,the
new,new,new
kingdom,kingdom,kingdom
wa,wa,wa
conveniently,conveniently,conveniently
centered,centered,centered
on,on,on
the,the,the
border,border,border
of,of,of
mali,mali,mali
and,and,and
burkina,burkina,burkina
faso,faso,faso
.,.,
it,it,it
position,position,position
wa,wa,wa
crucial,crucial,crucial
to,to,to
the,the,the
exchange,exchange,exchange
of,of,of
desert,desert,desert
and,and,and
forest,forest,forest
good,good,good
.,.,
sadly,sadly,sadly
",",",",
the,the,the
senoufo,senoufo,senoufo
