,text,count,percent,cumulative_count,cumulative_percent
0,wa,943,2.4840630103788,943,2.4840630103788
1,state,360,0.948316737790422,1303,3.4323797481692218
2,kingdom,245,0.6453822243295927,1548,4.077761972498815
3,category,194,0.5110373531426163,1742,4.588799325641431
4,kozhikode,188,0.4952320741794426,1930,5.084031399820874
5,also,185,0.4873294346978557,2115,5.571360834518729
6,sultan,184,0.48469522153732675,2299,6.056056056056057
7,king,174,0.4583530899320373,2473,6.514409145988094
8,son,133,0.35035035035035034,2606,6.8647594963384435
9,territory,131,0.34508192402929244,2737,7.209841420367737
